ticket_id,customer_id,created_date,channel,subject,ticket_text,category,priority
TKT-100305,CUST-9875,2026-02-13 14:42,Chat,Account suspended,"Hi team, i'm an admin but suddenly can't access the billing section of our account anymore. Thanks.",Account Access,Medium
TKT-100837,CUST-8050,2026-02-13 15:00,Phone,Duplicate charge on my account,"hi, i was charged $19.99 twice for my Enterprise Plan this month, pls refund the duplicate charge immediately.",Billing Issue,High
TKT-101366,CUST-3351,2026-02-13 16:10,Web Form,Feature suggestion for customer portal,"It would be great if the customer portal supported dark mode, staring at the bright screen at night is rough.",Feature Request,Low
TKT-102189,CUST-9857,2026-02-13 20:51,Web Form,Account locked,"Our entire team lost access to the data export tool this morning, this is blocking a client deadline today. Appreciate the help.",Account Access,Critical
TKT-101460,CUST-2205,2026-02-13 23:34,Web Form,App crashing on Android phone,"Hello, our entire team lost access to the file upload feature this morning, this is blocking a client deadline today.",Technical Issue,Critical
TKT-100826,CUST-4328,2026-02-13 23:37,Phone,Duplicate charge on my account,"Can I get a discount applied to my Enterprise Plan, I saw a promo code that wasn't reflected at checkout?",Billing Issue,Low
TKT-101323,CUST-8636,2026-02-14 07:10,Email,Unable to reset password,"Hello Support, how do I change the email address linked to my account? Please advise.",Account Access,Low
TKT-101696,CUST-9156,2026-02-14 08:44,Web Form,Shipping address change request,"The phone case arrived damaged, the box was crushed during shipping. Please advise.",Shipping & Delivery,High
TKT-101877,CUST-6672,2026-02-14 08:52,Email,Damaged item received,Order ORD-88993 is stuck at 'processing' for over 12 days now with no movement. Please advise.,Shipping & Delivery,Medium
TKT-100534,CUST-9420,2026-02-14 10:12,Email,Invoice request,Charged $39.99 for a plan I never signed up for. This needs to be reversed today.,Billing Issue,High
TKT-101003,CUST-6118,2026-02-14 10:34,Web Form,Refund request for order ORD-10931,"The replacement you sent for order ORD-10931 also arrived broken, I'd rather just get a refund now.",Refund Request,High
TKT-100264,CUST-5861,2026-02-14 11:46,Phone,Refund request for order ORD-70905,"The refund I received was less than what I originally paid, missing $29.99.",Refund Request,Critical
TKT-102119,CUST-1303,2026-02-14 12:47,Chat,Refund amount incorrect,"i'd like to dispute a charge and request a refund, the phone case was never delivered.",Refund Request,Critical
TKT-101806,CUST-7447,2026-02-14 14:54,Phone,2FA code not received,"Hello Support, i think someone else accessed my account, I see login activity from a location I don't recognize.",Account Access,Critical
TKT-101442,CUST-7255,2026-02-14 16:33,Web Form,Product availability question,"Hello Support, do you offer a free trial for the Standard Plan before committing to a subscription?",Product Inquiry,Low
TKT-100992,CUST-6690,2026-02-14 16:40,Web Form,Error 500 Internal Server Error when using dark mode setting,"The dark mode setting has been completely down since May 27, 2026 and I can't get any work done. This is extremely urgent, pls fix it ASAP. Thx.",Technical Issue,Critical
TKT-102009,CUST-1461,2026-02-14 18:31,Chat,Invoice request,"please cancel my upcoming renewal, I don't want to be charged $49.99 again next cycle.",Billing Issue,Medium
TKT-101921,CUST-5232,2026-02-14 18:50,Phone,Requesting refund for Pro Plan,"Was promised a refund of $14.99 by a support agent on April 16, 2026, hasn't been processed yet.",Refund Request,High
TKT-101347,CUST-7290,2026-02-14 19:48,Web Form,notification settings not working,"System keeps logging me out every few minutes while using the notification settings, very disruptive.",Technical Issue,High
TKT-100192,CUST-3338,2026-02-14 19:49,Email,Account locked,"Hi team, why does it say my account is 'under review'? I haven't done anything unusual. Please advise.",Account Access,Medium
TKT-100953,CUST-7122,2026-02-14 20:59,Web Form,Request: dark mode support,"Requesting a bulk edit option in calendar sync, editing items one by one is really slow.",Feature Request,Low
TKT-101400,CUST-2985,2026-02-14 22:43,Chat,Integration request,"Suggesting an API rate limit increase for the Pro Plan tier, we're hitting limits often. Thanks.",Feature Request,High
TKT-101205,CUST-2022,2026-02-14 22:57,Chat,Feature suggestion for team collaboration tool,Feature idea: let us tag and filter items by custom labels in team collaboration tool.,Feature Request,Low
TKT-100196,CUST-9348,2026-02-14 23:40,Web Form,Billing discrepancy,"I was billed for the Premium Plan even though I cancelled it back on April 12, 2026.",Billing Issue,High
TKT-100376,CUST-9719,2026-02-15 00:00,Web Form,Sync issue with customer portal,Minor visual glitch - icons overlap on the settings page in customer portal. Doesn't affect functionality. Pls advise.,Technical Issue,Low
TKT-101484,CUST-8066,2026-02-15 01:59,Chat,Suspicious login activity,"Hi, i noticed the data export tool is loading really slowly today, takes almost a minute to respond.",Account Access,Medium
TKT-100651,CUST-8518,2026-02-15 02:13,Web Form,Feature suggestion for team collaboration tool,could you add two-way calendar sync to team collaboration tool? Right now it's only one direction.,Feature Request,Low
TKT-101482,CUST-9835,2026-02-15 02:52,Email,App crashing on Firefox browser,Is anyone else experiencing issues with the customer portal? Mine hasn't worked properly since the last update.,Technical Issue,Medium
TKT-100198,CUST-9953,2026-02-15 04:22,Email,Slow performance issue,The billing portal keeps crashing whenever I try to save changes. Could someone look into this?,Technical Issue,High
TKT-101537,CUST-6824,2026-02-15 16:57,Phone,Product availability question,how does the office chair cushion compare to your previous model in terms of battery life?,Product Inquiry,Low
TKT-101292,CUST-7248,2026-02-15 20:45,Phone,Unable to load file upload feature,Dark mode setting in file upload feature resets itself every time I refresh the page.,Technical Issue,Low
TKT-101278,CUST-5356,2026-02-15 21:37,Email,Account suspended,"Forgot my password and the reset email never arrived, checked spam folder too. Appreciate the help.",Account Access,Medium
TKT-100436,CUST-2906,2026-02-15 22:36,Email,Question about noise-cancelling earbuds,i have a question about my recent experience with your service.,Product Inquiry,Low
TKT-101369,CUST-6090,2026-02-15 23:54,Email,Invoice request,"The replacement you sent for order ORD-10094 also arrived broken, I'd rather just get a refund now.",Billing Issue,High
TKT-101009,CUST-2857,2026-02-16 00:17,Web Form,Billing discrepancy,"Hello, can I get a refund instead of store credit for order ORD-34380? Store credit doesn't work for me.",Billing Issue,Low
TKT-100318,CUST-7734,2026-02-16 01:48,Web Form,Order ORD-37018 delayed,"The packaging for the fitness tracker was completely soaked, looks like water damage.",Shipping & Delivery,High
TKT-101368,CUST-5706,2026-02-16 03:48,Phone,Sync issue with mobile app,Could someone look into my account and let me know what's going on?,Technical Issue,Medium
TKT-102149,CUST-3532,2026-02-16 03:50,Email,Refund amount incorrect,"Hi, the refund I received was less than what I originally paid, missing $9.99. Looking forward to your response.",Refund Request,High
TKT-100055,CUST-6379,2026-02-16 09:46,Email,New feature idea,It'd be helpful to have a mobile widget for quick access to two-factor authentication.,Feature Request,Low
TKT-101458,CUST-6453,2026-02-16 10:32,Phone,Refund request for order ORD-41065,"Was promised a refund of $19.99 by a support agent on January 13, 2026, hasn't been processed yet.",Refund Request,High
TKT-100202,CUST-3172,2026-02-16 10:48,Phone,Integration request,Requesting the option to customize the dashboard layout in dashboard.,Feature Request,Low
TKT-101612,CUST-8361,2026-02-16 11:38,Phone,Refund amount incorrect,"The fitness tracker I received was defective, requesting a refund rather than a replacement.",Refund Request,Medium
TKT-101770,CUST-3050,2026-02-16 12:53,Phone,Account recovery needed,"Hi, forgot my password and the reset email never arrived, checked spam folder too.",Account Access,Medium
TKT-102016,CUST-8559,2026-02-16 12:56,Email,Refund request for order ORD-26915,Can I get a refund instead of store credit for order ORD-26915? Store credit doesn't work for me.,Refund Request,Low
TKT-101968,CUST-7637,2026-02-16 13:19,Web Form,Sync issue with customer portal,"system keeps logging me out every few minutes while using the customer portal, very disruptive.",Technical Issue,High
TKT-100072,CUST-6316,2026-02-16 16:41,Email,Tracking not updating,My tracking number for order ORD-98596 isn't working on the carrier's website. Please advise.,Shipping & Delivery,Medium
TKT-101776,CUST-2944,2026-02-16 19:05,Email,Refund amount incorrect,It's been 3 days since I returned the desk lamp and I still haven't received my refund of $99.99.,Refund Request,High
TKT-100107,CUST-7276,2026-02-16 21:46,Email,Error ERR_5031 when using two-factor authentication,The two-factor authentication keeps crashing whenever I try to save changes. Could someone look into this?,Technical Issue,High
TKT-100134,CUST-6921,2026-02-16 22:02,Email,Platform down,I'm getting error ERR_9981 every time I try to open the two-factor authentication on my Firefox browser. It's been happening for 18 days now.,Technical Issue,High
TKT-100757,CUST-1070,2026-02-17 03:28,Chat,Feature suggestion for notification settings,"can I try the smart watch in person at a physical store, or is it online-only?",Feature Request,Low
TKT-100020,CUST-5439,2026-02-17 04:01,Web Form,Product availability question,"hey just wondering if the wireless headphones works with MacBook, thinking about buying one",Product Inquiry,Low
TKT-100123,CUST-5742,2026-02-17 08:42,Email,Refund for double billing,"i'd like to understand the breakdown of charges on my latest bill, the total doesn't match what I expected. Please advise.",Billing Issue,Medium
TKT-100453,CUST-9482,2026-02-17 10:03,Phone,Pro Plan vs Standard Plan comparison,"is the Pro Plan suitable for a team of 10 people, or is there a per-seat limit? Appreciate the help.",Product Inquiry,Low
TKT-100177,CUST-2908,2026-02-17 10:59,Chat,Error ERR_CONN_RESET when using team collaboration tool,"Hello Support, can someone get back to me regarding this matter?",Technical Issue,Medium
TKT-100231,CUST-9724,2026-02-17 14:30,Chat,Unable to load data export tool,"the mobile app freezes on the loading screen, stuck there for over 14 days now across multiple devices.",Technical Issue,Critical
TKT-101049,CUST-7764,2026-02-17 14:56,Phone,Order stuck in processing,"The monitor stand arrived damaged, the box was crushed during shipping.",Shipping & Delivery,High
TKT-101064,CUST-5408,2026-02-17 18:37,Phone,Enterprise Plan vs Annual Membership comparison,Wondering what languages the data export tool currently supports. Looking forward to your response.,Product Inquiry,Low
TKT-100767,CUST-2844,2026-02-17 19:00,Email,Duplicate charge on my account,"requesting an itemized receipt for the $29.99 payment made on April 03, 2026.",Billing Issue,Low
TKT-102093,CUST-8498,2026-02-17 21:31,Phone,Product availability question,what payment methods do you accept for purchasing the ergonomic keyboard?,Product Inquiry,Low
TKT-100260,CUST-3557,2026-02-17 22:17,Email,Damaged item received,"Hi team, requesting a refund for my Enterprise Plan subscription, I was charged but never used the service.",Shipping & Delivery,Low
TKT-101467,CUST-3142,2026-02-18 00:30,Chat,Wrong item received,"my package never came and tracking just stopped updating since May 02, 2026, kinda annoyed tbh",Shipping & Delivery,Medium
TKT-101409,CUST-6685,2026-02-18 01:13,Email,Product availability question,How does the wireless mouse compare to your previous model in terms of battery life?,Product Inquiry,Low
TKT-100394,CUST-8898,2026-02-18 01:30,Chat,Account suspended,"Hello, i updated my phone number but 2FA still sends codes to my old number.",Account Access,High
TKT-101050,CUST-5325,2026-02-18 03:06,Email,Suggestion for file upload feature improvement,Can you add support for recurring tasks within file upload feature? Currently have to recreate them manually. Looking forward to your response.,Feature Request,Medium
TKT-100661,CUST-9745,2026-02-18 06:47,Web Form,Order stuck in processing,is local pickup available as an alternative to shipping for my area?,Shipping & Delivery,Low
TKT-101135,CUST-6582,2026-02-18 08:32,Chat,Bug in billing portal,"after updating the app, the billing portal button is missing entirely from the menu. Please advise.",Technical Issue,Low
TKT-101864,CUST-8687,2026-02-18 09:28,Phone,customer portal not working,"Just curious if there's a known issue with slow load times on Android phone browsers, seeing this a lot lately.",Technical Issue,Medium
TKT-100217,CUST-4493,2026-02-18 13:19,Chat,Question about wireless mouse,wondering what languages the dashboard currently supports. Thank you.,Product Inquiry,Low
TKT-101533,CUST-3354,2026-02-18 15:00,Chat,Suspicious login activity,"Hello, i'm an admin but suddenly can't access the billing section of our account anymore. Appreciate the help.",Account Access,Medium
TKT-101055,CUST-4394,2026-02-18 18:21,Phone,Slow performance issue,The app crashes immediately after I open it on my MacBook. I've tried reinstalling twice already.,Technical Issue,Critical
TKT-100048,CUST-2356,2026-02-18 20:08,Phone,Account recovery needed,"Forgot my password and the reset email never arrived, checked spam folder too. Please advise.",Account Access,Medium
TKT-102109,CUST-1284,2026-02-18 20:58,Phone,Refund for double billing,"My company needs a tax document for payments made this year, who can provide that?",Billing Issue,Low
TKT-101054,CUST-5536,2026-02-19 00:31,Email,Refund not received yet,"can I get a discount applied to my Premium Plan, I saw a promo code that wasn't reflected at checkout?",Refund Request,Medium
TKT-102008,CUST-1818,2026-02-19 05:20,Web Form,Damaged item received,"my package never came and tracking just stopped updating since January 10, 2026, kinda annoyed tbh",Shipping & Delivery,Medium
TKT-102007,CUST-6511,2026-02-19 07:21,Web Form,API integration not working,"Just a heads up, the search bar in API integration returns no results even for exact matches. Thank you.",Technical Issue,Medium
TKT-100373,CUST-9388,2026-02-19 07:25,Phone,Refund amount incorrect,"The laptop stand I received was defective, requesting a refund rather than a replacement. Appreciate the help.",Refund Request,Medium
TKT-100011,CUST-1173,2026-02-19 08:58,Web Form,2FA code not received,"i never received the two-factor authentication code to my phone, I'm stuck on the login screen.",Account Access,High
TKT-101454,CUST-5167,2026-02-19 11:11,Web Form,Product availability question,What's the difference between the Annual Membership and Premium Plan? Trying to decide which one to get.,Product Inquiry,Low
TKT-100345,CUST-6000,2026-02-19 17:11,Phone,Pricing question,"Hi, do you offer a free trial for the Enterprise Plan before committing to a subscription?",Product Inquiry,Low
TKT-101633,CUST-8962,2026-02-19 17:46,Phone,Account locked,How long does account verification usually take? Submitted my documents 7 days ago. Please advise.,Account Access,Low
TKT-100392,CUST-5441,2026-02-19 19:08,Chat,Refund not received yet,"I'm not satisfied with the wireless mouse, it's not what I expected, can I return it for a refund? Thank you.",Refund Request,Low
TKT-102036,CUST-2661,2026-02-19 21:38,Web Form,Question about my invoice,"Hi team, pls update my billing address, the one on file is outdated.",Billing Issue,Low
TKT-100946,CUST-1113,2026-02-20 00:22,Phone,Premium Plan vs Standard Plan comparison,What's the difference between the Premium Plan and Standard Plan? Trying to decide which one to get.,Product Inquiry,Low
TKT-101184,CUST-6301,2026-02-20 02:35,Web Form,Invoice request,"Hello, how do I update my payment method for the Pro Plan subscription? Thx.",Billing Issue,Low
TKT-100813,CUST-4409,2026-02-20 03:18,Phone,Platform down,"I can't upload files through the dark mode setting, it just shows error ERR_5031 and nothing happens. Thank you.",Technical Issue,High
TKT-101543,CUST-5509,2026-02-20 03:36,Web Form,App crashing on Chrome browser,"Hello Support, not sure if this is the right place to ask, but I need help. Please advise.",Technical Issue,Low
TKT-101867,CUST-4783,2026-02-20 04:24,Phone,Partial refund needed,My credit card on file expired and I think that's why my last payment of $79.99 bounced.,Refund Request,Medium
TKT-100745,CUST-7237,2026-02-20 04:35,Web Form,Account suspended,"Hi team, i'm an admin but suddenly can't access the billing section of our account anymore.",Account Access,Medium
TKT-100807,CUST-7044,2026-02-20 06:12,Chat,Question about my invoice,"My card was charged $199.99 on May 07, 2026 but I never authorized this transaction.",Billing Issue,Critical
TKT-101831,CUST-5166,2026-02-20 06:58,Web Form,Order stuck in processing,My tracking number for order ORD-21312 isn't working on the carrier's website.,Shipping & Delivery,Medium
TKT-101842,CUST-7973,2026-02-20 08:50,Phone,Refund not received yet,"please update my billing address, the one on file is outdated. Thank you.",Refund Request,Low
TKT-101948,CUST-6986,2026-02-20 09:12,Web Form,Product availability question,"Hello, can the Pro Plan be used by both individuals and businesses, or is it business-only?",Product Inquiry,Low
TKT-100895,CUST-1917,2026-02-20 10:01,Phone,Slow performance issue,"i noticed the notification settings is loading really slowly today, takes almost a minute to respond.",Technical Issue,Medium
TKT-101114,CUST-7737,2026-02-20 10:57,Web Form,Refund amount incorrect,"Hello Support, i'd like to request a full refund for order ORD-84820, the bluetooth speaker doesn't work as advertised. Thanks.",Refund Request,High
TKT-101412,CUST-7542,2026-02-20 11:39,Chat,App crashing on Android phone,"The API integration is returning error 500 Internal Server Error intermittently since May 30, 2026, breaking our automated workflows.",Technical Issue,Medium
TKT-101625,CUST-7802,2026-02-20 11:43,Email,Order stuck in processing,can you confirm if order ORD-83431 has shipped yet? Haven't gotten a confirmation email.,Shipping & Delivery,Low
TKT-102136,CUST-2545,2026-02-20 11:51,Web Form,Partial refund needed,How long does it typically take for a refund to show up on my statement?,Refund Request,Low
TKT-101150,CUST-2599,2026-02-20 13:25,Web Form,App crashing on Chrome browser,Minor visual glitch - icons overlap on the settings page in mobile app. Doesn't affect functionality.,Technical Issue,Medium
TKT-100229,CUST-5262,2026-02-20 18:57,Web Form,Error ERR_AUTH_22 when using notification settings,"Our entire team lost access to the notification settings this morning, this is blocking a client deadline today.",Technical Issue,Critical
TKT-101879,CUST-1099,2026-02-20 21:31,Web Form,Account locked,"Hello Support, please remove my old email address as a backup recovery option, it's no longer active.",Account Access,Low
TKT-100918,CUST-1081,2026-02-20 22:11,Phone,Tracking not updating,"Requesting to cancel order ORD-75367 before it ships, placed it by mistake.",Shipping & Delivery,Medium
TKT-100442,CUST-7436,2026-02-20 23:09,Web Form,Compatibility question,"Can I try the webcam in person at a physical store, or is it online-only? Thx.",Product Inquiry,Low
TKT-100674,CUST-2565,2026-02-21 00:55,Chat,Slow performance issue,"Hello, i've been a customer for a while and this experience has been disappointing.",Technical Issue,Medium
TKT-100602,CUST-5875,2026-02-21 02:38,Email,Account recovery needed,My account got logged out on all devices and now won't let me back in at all. Thanks.,Account Access,High
TKT-101675,CUST-1199,2026-02-21 05:02,Chat,Invoice request,"Hi team, the bill this month makes no sense, charged $29.99 extra and nobody told me why",Billing Issue,Medium
TKT-101944,CUST-5572,2026-02-21 06:18,Chat,Account locked,"Hello Support, how long does account verification usually take? Submitted my documents 15 days ago. Thanks.",Account Access,Medium
TKT-100056,CUST-4951,2026-02-21 06:59,Chat,Question about noise-cancelling earbuds,"can the Premium Plan be used by both individuals and businesses, or is it business-only?",Product Inquiry,Low
TKT-100744,CUST-8341,2026-02-21 09:09,Email,App crashing on Samsung tablet,"Hi, could you check why the customer portal sync with our calendar stopped working since May 07, 2026?",Technical Issue,Medium
TKT-101418,CUST-1640,2026-02-21 09:24,Email,Sync issue with calendar sync,"Hello Support, the export function in calendar sync produces a corrupted file every time. Please advise.",Technical Issue,High
TKT-101733,CUST-3287,2026-02-21 10:31,Email,Question about my invoice,Is it possible to switch from monthly to annual billing for the Basic Plan? Want to know if it saves money. Thanks.,Billing Issue,Low
TKT-100125,CUST-1113,2026-02-21 11:25,Phone,Suspicious login activity,is there a way to set up single sign-on (SSO) for our organization's account?,Account Access,Low
TKT-100053,CUST-1329,2026-02-21 12:06,Email,Damaged item received,"The delivery driver left my package in plain view of the street, I'm worried about theft. Please advise.",Shipping & Delivery,Medium
TKT-101319,CUST-5024,2026-02-21 12:35,Phone,Pricing question,do u have plans to release a iPhone version of the app?,Product Inquiry,Low
TKT-100245,CUST-5238,2026-02-21 12:59,Email,Requesting refund for Premium Plan,"Was promised a refund of $149.99 by a support agent on January 21, 2026, hasn't been processed yet. Thanks.",Refund Request,Medium
TKT-100736,CUST-4473,2026-02-21 13:54,Email,Compatibility question,do you have plans to release a Firefox browser version of the app?,Product Inquiry,Low
TKT-101559,CUST-7405,2026-02-21 16:27,Phone,Unable to reset password,How long does account verification usually take? Submitted my documents 17 days ago.,Account Access,Low
TKT-101548,CUST-6799,2026-02-21 18:32,Web Form,Unable to load file upload feature,Is anyone else experiencing issues with the file upload feature? Mine hasn't worked properly since the last update.,Technical Issue,Medium
TKT-101248,CUST-9062,2026-02-21 19:09,Chat,Integration request,it'd be helpful to have a mobile widget for quick access to dark mode setting.,Feature Request,Low
TKT-101229,CUST-8326,2026-02-21 20:41,Chat,Integration request,"would be cool if billing portal had a search filter by date range, kinda needed tbh Appreciate the help.",Feature Request,Low
TKT-101673,CUST-2669,2026-02-21 20:54,Email,Sync issue with reporting module,"Could you check why the reporting module sync with our calendar stopped working since March 20, 2026?",Technical Issue,Low
TKT-101731,CUST-2108,2026-02-21 21:09,Email,Order ORD-30037 delayed,Order ORD-30037 has been 'out for delivery' for three days straight without arriving.,Shipping & Delivery,High
TKT-100845,CUST-2888,2026-02-21 23:25,Email,Pro Plan vs Standard Plan comparison,curious if API integration works offline or requires constant internet connection.,Product Inquiry,Low
TKT-101903,CUST-9265,2026-02-22 03:51,Email,Bug in two-factor authentication,the two-factor authentication keeps crashing whenever I try to save changes. Could someone look into this?,Technical Issue,High
TKT-100792,CUST-2127,2026-02-22 04:23,Chat,Slow performance issue,The app crashes immediately after I open it on my Samsung tablet. I've tried reinstalling twice already.,Technical Issue,Critical
TKT-101786,CUST-4312,2026-02-22 06:12,Email,Question about phone case,What's the difference between the Basic Plan and Standard Plan? Trying to decide which one to get.,Product Inquiry,Low
TKT-100702,CUST-1040,2026-02-22 08:40,Email,Slow performance issue,I think there's a glitch in the data export tool - numbers don't add up correctly after syncing.,Technical Issue,Medium
TKT-100094,CUST-7518,2026-02-22 09:38,Email,Partial refund needed,"Hello Support, pls update my billing address, the one on file is outdated. Looking forward to ur response.",Refund Request,Low
TKT-101579,CUST-6762,2026-02-22 10:34,Phone,Sync issue with calendar sync,The app crashes immediately after I open it on my Firefox browser. I've tried reinstalling twice already.,Technical Issue,Critical
TKT-102052,CUST-6527,2026-02-22 11:13,Chat,Question about my invoice,"I'm not seeing the credit you mentioned applied to my account after the support call on March 13, 2026.",Billing Issue,Medium
TKT-100223,CUST-3514,2026-02-22 12:12,Phone,Account recovery needed,"Hello Support, i'm having an issue and need someone to help me as soon as possible.",Account Access,Medium
TKT-100639,CUST-9850,2026-02-22 12:18,Web Form,Unable to load file upload feature,"Hi team, minor visual glitch - icons overlap on the settings page in file upload feature. Doesn't affect functionality.",Technical Issue,Low
TKT-101006,CUST-1348,2026-02-22 12:32,Chat,Requesting refund for Basic Plan,"Hi team, pls refund my money for Basic Plan, cancelled weeks ago and still got charged $149.99",Refund Request,High
TKT-101228,CUST-1889,2026-02-22 13:37,Chat,Platform down,"Just a heads up, the search bar in dark mode setting returns no results even for exact matches.",Technical Issue,Medium
TKT-101595,CUST-5025,2026-02-22 13:55,Email,Order ORD-63997 delayed,"Hi team, is local pickup available as an alternative to shipping for my area?",Shipping & Delivery,Low
TKT-100689,CUST-7685,2026-02-22 14:59,Web Form,Question about office chair cushion,does upgrading from Premium Plan to Enterprise Plan carry over my existing data automatically?,Product Inquiry,Low
TKT-101618,CUST-3855,2026-02-22 16:57,Phone,Shipping address change request,Can I change the shipping address for order ORD-65058? It hasn't shipped yet I think. Appreciate the help.,Shipping & Delivery,Medium
TKT-100495,CUST-7156,2026-02-22 17:59,Chat,Refund request for order ORD-63897,"The replacement you sent for order ORD-63897 also arrived broken, I'd rather just get a refund now. Please advise.",Refund Request,Medium
TKT-100531,CUST-7622,2026-02-22 19:36,Chat,Can't log in to my account,Can you escalate this? I've been waiting a while for a response. Please advise.,Account Access,High
TKT-100470,CUST-4766,2026-02-22 20:27,Phone,Update payment method,"Hello, can someone explain why my invoice shows $29.99 when my plan is supposed to cost less?",Billing Issue,High
TKT-102174,CUST-3603,2026-02-22 21:08,Web Form,Compatibility question,What payment methods do u accept for purchasing the smart watch?,Product Inquiry,Low
TKT-101522,CUST-5025,2026-02-22 22:04,Web Form,Sync issue with notification settings,Performance has degraded a lot recently - everything in notification settings takes 3-4x longer to load than before.,Technical Issue,Low
TKT-101505,CUST-2755,2026-02-23 01:10,Email,Refund for double billing,Why did my Pro Plan price increase from last month without any notice?,Billing Issue,Medium
TKT-100959,CUST-5738,2026-02-23 02:10,Email,Requesting refund for Basic Plan,is there a restocking fee if I return the wireless mouse for a refund?,Refund Request,Low
TKT-102062,CUST-2408,2026-02-23 02:45,Phone,Update payment method,"i see two separate charges of $129.99 on January 11, 2026, both labeled the same. Please investigate.",Billing Issue,High
TKT-100601,CUST-9230,2026-02-23 02:59,Web Form,Product availability question,Does notification settings support exporting data to Excel or only PDF?,Product Inquiry,Low
TKT-101712,CUST-3618,2026-02-23 03:13,Email,Question about office chair cushion,what's the difference between the Pro Plan and Premium Plan? Trying to decide which one to get.,Product Inquiry,Low
TKT-100678,CUST-2596,2026-02-23 03:23,Email,Error ERR_4042 when using billing portal,"Could you check why the billing portal sync with our calendar stopped working since May 11, 2026?",Technical Issue,Medium
TKT-100913,CUST-4681,2026-02-23 04:07,Chat,Subscription renewal issue,"my card was charged $249.99 on March 05, 2026 but I never authorized this transaction.",Billing Issue,Critical
TKT-102058,CUST-2075,2026-02-23 04:37,Chat,Bug in billing portal,"i keep getting logged out of the billing portal mid-task and losing unsaved work, very frustrating.",Technical Issue,High
TKT-102162,CUST-7370,2026-02-23 05:33,Email,Platform down,"The API integration is returning error 500 Internal Server Error intermittently since January 26, 2026, breaking our automated workflows.",Technical Issue,High
TKT-100012,CUST-7389,2026-02-23 06:42,Web Form,Error 500 Internal Server Error when using file upload feature,"The notification settings in file upload feature aren't saving my preferences, I have to redo it every login.",Technical Issue,Low
TKT-100612,CUST-1591,2026-02-23 06:44,Email,Account suspended,can you merge my two accounts into one? I accidentally signed up twice with different emails.,Account Access,Low
TKT-100105,CUST-7879,2026-02-23 07:48,Chat,Premium Plan vs Basic Plan comparison,How does the fitness tracker compare to your previous model in terms of battery life?,Product Inquiry,Low
TKT-100572,CUST-3237,2026-02-23 08:56,Chat,Partial refund needed,"My order ORD-39263 was supposed to arrive on May 19, 2026 but tracking hasn't updated in 9 days.",Refund Request,High
TKT-100627,CUST-9476,2026-02-23 09:17,Phone,App crashing on Windows laptop,"The reporting module has been completely down since June 02, 2026 and I can't get any work done. This is extremely urgent, please fix it ASAP.",Technical Issue,Critical
TKT-101833,CUST-8837,2026-02-23 10:04,Web Form,Billing discrepancy,"Could you send me a copy of my invoice for April 21, 2026? I need it for expense reporting.",Billing Issue,Low
TKT-101808,CUST-8871,2026-02-23 12:13,Phone,Unexpected charge of $199.99,Can someone explain why my invoice shows $199.99 when my plan is supposed to cost less?,Billing Issue,High
TKT-101210,CUST-1454,2026-02-23 12:34,Web Form,Order ORD-38691 delayed,"my order ORD-38691 was supposed to arrive on April 22, 2026 but tracking hasn't updated in 4 days.",Shipping & Delivery,High
TKT-101446,CUST-9775,2026-02-23 12:55,Chat,App crashing on MacBook,"the notification settings in two-factor authentication aren't saving my preferences, I have to redo it every login.",Technical Issue,Medium
TKT-101657,CUST-1573,2026-02-23 13:47,Email,Compatibility question,"Hello Support, does upgrading from Enterprise Plan to Pro Plan carry over my existing data automatically?",Product Inquiry,Low
TKT-101287,CUST-9297,2026-02-23 17:27,Phone,Refund request for order ORD-48519,"i received the wrong item, ordered a USB-C hub but got something completely different.",Refund Request,Medium
TKT-101421,CUST-8008,2026-02-23 23:11,Chat,Wrong item received,"Hello, can you confirm if order ORD-98963 has shipped yet? Haven't gotten a confirmation email.",Shipping & Delivery,Low
TKT-100327,CUST-7832,2026-02-23 23:50,Web Form,Question about wireless headphones,"Does the Annual Membership include access to search function, or is that a separate add-on?",Product Inquiry,Low
TKT-102080,CUST-4233,2026-02-24 00:07,Chat,Damaged item received,Can you confirm if order ORD-77374 has shipped yet? Haven't gotten a confirmation email.,Shipping & Delivery,Low
TKT-100649,CUST-1340,2026-02-24 01:33,Chat,Slow performance issue,"Integration with our third-party tool stopped working after your last update, error ERR_4042 appears constantly.",Technical Issue,High
TKT-101227,CUST-7505,2026-02-24 02:23,Email,Compatibility question,Can you tell me the dimensions and weight of the tablet case before I order?,Product Inquiry,Low
TKT-100369,CUST-9753,2026-02-24 04:27,Chat,Package marked delivered but missing,"The USB-C hub arrived damaged, the box was crushed during shipping.",Shipping & Delivery,High
TKT-100666,CUST-1721,2026-02-24 07:42,Phone,Pricing question,What's the maximum file size supported by the dashboard for uploads?,Product Inquiry,Low
TKT-101681,CUST-2267,2026-02-24 09:04,Phone,Suspicious login activity,"Hi, my account got flagged for suspicious activity, but it was just me logging in from a new laptop.",Account Access,Medium
TKT-101529,CUST-6454,2026-02-24 09:05,Phone,Partial refund needed,"was promised a refund of $249.99 by a support agent on February 04, 2026, hasn't been processed yet.",Refund Request,High
TKT-100465,CUST-1662,2026-02-24 10:39,Phone,Requesting refund for Enterprise Plan,"Billing cycle seems off, I was charged on April 30, 2026 instead of my usual billing date.",Refund Request,Medium
